"","SYMBOL","X91_23.X6103_230526","Normalized_Per_Million","Normal_Mean","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000101213","PTK6",13.286,1.383,9.86,9,4.548,0.753,1.347,"NORMAL","0"
"ENSG00000101336","HCK",499.286,51.972,731.799,725.1905,135.034,-1.722,0.682,"LOW","0"
"ENSG00000101868","POLA1",367.81,38.287,384.451,399.1429,132.545,-0.126,0.957,"NORMAL","0"
"ENSG00000101916","TLR8",36.143,3.762,147.115,131.3333,63.499,-1.748,0.246,"LOW","0"
"ENSG00000102010","BMX",8.667,0.902,54.719,49.7143,29.742,-1.548,0.158,"LOW","0"
"ENSG00000102755","FLT1",214.952,22.375,350.576,273.5238,204.977,-0.662,0.613,"NORMAL","0"
"ENSG00000104320","NBN",920.81,95.85,787.273,756.0476,156.572,0.853,1.17,"NORMAL","0"
"ENSG00000104687","GSR",968,100.763,563.253,568.5714,99.784,4.056,1.719,"HIGH","0"
"ENSG00000105383","CD33",20.476,2.131,162.772,169.4286,69.235,-2.055,0.126,"LOW","0"
"ENSG00000105397","TYK2",880.619,91.667,1225.323,1221.8571,280.54,-1.229,0.719,"NORMAL","0"
"ENSG00000105486","LIG1",1020.714,106.25,568.02,524.9048,179.923,2.516,1.797,"HIGH","0"
"ENSG00000105639","JAK3",1781.619,185.455,2217.91,2257,430.448,-1.014,0.803,"NORMAL","0"
"ENSG00000105810","CDK6",441.333,45.94,480.87,505.7619,129.142,-0.306,0.918,"NORMAL","0"
"ENSG00000105976","MET",89.048,9.269,173.04,162.619,66.964,-1.254,0.515,"LOW","0"
"ENSG00000106462","EZH2",560.667,58.362,493.927,418.4762,264.076,0.253,1.135,"NORMAL","0"
"ENSG00000106546","AHR",1270.619,132.263,723.003,704.5714,187.3,2.924,1.757,"HIGH","0"
"ENSG00000108384","RAD51C",232.381,24.189,230.321,233.5238,54.475,0.038,1.009,"NORMAL","0"
"ENSG00000108423","TUBD1",161.524,16.814,127.521,128.2857,22.683,1.499,1.267,"HIGH","0"
"ENSG00000108799","EZH1",791.952,82.437,1186.541,1137.619,242.771,-1.625,0.667,"LOW","0"
"ENSG00000108840","HDAC5",166.524,17.334,488.308,450.2857,165.102,-1.949,0.341,"LOW","0"
"ENSG00000109163","GNRHR",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000109471","IL2",13.286,1.383,7.406,6.6667,7.378,0.797,1.794,"NORMAL","0"
"ENSG00000110195","FOLR1",0,0,0.153,0,0.482,-0.317,0,"NORMAL","-"
"ENSG00000111252","SH2B3",478.143,49.772,1212.747,1087,337.584,-2.176,0.394,"LOW","0"
"ENSG00000111816","FRK",71,7.391,19.697,17.4286,8.08,6.349,3.605,"HIGH","0"
"ENSG00000112651","MRPL2",85.143,8.863,188.421,180.7143,49.705,-2.078,0.452,"LOW","0"
"ENSG00000112715","VEGFA",197.333,20.541,299.358,229.5714,262.483,-0.389,0.659,"NORMAL","0"
"ENSG00000113263","ITK",381.952,39.759,1757.802,1802.4286,475.588,-2.893,0.217,"LOW","0"
"ENSG00000113522","RAD50",189.857,19.763,672.073,672.6667,113.857,-4.235,0.282,"VERY LOW","0"
"ENSG00000113578","FGF1",3.619,0.377,13.88,13.2857,10.529,-0.975,0.261,"NORMAL","0"
"ENSG00000113580","NR3C1",2561.714,266.658,1375.935,1459.0952,235.793,5.029,1.862,"HIGH","0"
"ENSG00000113721","PDGFRB",733.667,76.37,934.268,738.619,539.164,-0.372,0.785,"NORMAL","0"
"ENSG00000113851","CRBN",513.048,53.405,496.845,493.7619,84.943,0.191,1.033,"NORMAL","0"
"ENSG00000115350","POLE4",161.524,16.814,314.464,311.619,70.395,-2.173,0.514,"LOW","0"
"ENSG00000116062","MSH6",1210.095,125.963,983.178,998.4762,322.221,0.704,1.231,"NORMAL","0"
"ENSG00000116478","HDAC1",3790,394.514,2401.424,2535.4286,447.082,3.106,1.578,"HIGH","0"
"ENSG00000118046","STK11",275.81,28.71,295.729,287,64.34,-0.31,0.933,"NORMAL","0"
"ENSG00000119630","PGF",8.048,0.838,66.531,53.0476,41.701,-1.402,0.121,"LOW","0"
"ENSG00000119772","DNMT3A",374.095,38.941,662.802,659.0952,174.017,-1.659,0.564,"LOW","0"
"ENSG00000119888","EPCAM",29.667,3.088,2.108,1.9048,2.368,11.638,14.074,"HIGH","0"
"ENSG00000120156","TEK",36.143,3.762,242.91,203.5238,112.815,-1.833,0.149,"LOW","0"
"ENSG00000120217","CD274",251.476,26.177,268.115,268.2381,91.749,-0.181,0.938,"NORMAL","0"
"ENSG00000120659","TNFSF11",188.19,19.589,346.281,356.381,196.09,-0.806,0.543,"NORMAL","0"
"ENSG00000120949","TNFRSF8",54.619,5.685,62.025,51,43.785,-0.169,0.881,"NORMAL","0"
"ENSG00000121879","PIK3CA",659.095,68.608,513.957,524.381,91.327,1.589,1.282,"NORMAL","0"
"ENSG00000122025","FLT3",54.619,5.685,256.81,253.4286,89.253,-2.265,0.213,"LOW","0"
"ENSG00000122512","PMS2",42.762,4.451,217.897,229.5714,53.105,-3.298,0.196,"VERY LOW","0"
"ENSG00000126067","PSMB2",1024,106.592,1087.208,1048.7143,308.513,-0.205,0.942,"NORMAL","0"
"ENSG00000126934","MAP2K2",1133.19,117.958,490.596,457.1905,131.083,4.902,2.31,"HIGH","0"
"ENSG00000127824","TUBA4A",585.857,60.984,1307.962,1336.7619,266.921,-2.705,0.448,"LOW","0"
"ENSG00000127922","SEM1",1030.381,107.256,761.805,702.1429,196.567,1.366,1.353,"HIGH","0"
"ENSG00000128052","KDR",67.714,7.049,653.519,527.5714,361.408,-1.621,0.104,"LOW","0"
"ENSG00000128059","PPAT",294.524,30.658,206.233,212.0476,61.422,1.437,1.428,"NORMAL","0"
"ENSG00000128602","SMO",40.476,4.213,66.273,62.6667,17.63,-1.463,0.611,"NORMAL","0"
"ENSG00000129484","PARP2",233,24.254,229.689,226.7619,46.956,0.071,1.014,"NORMAL","0"
"ENSG00000130164","LDLR",391,40.701,338.664,201.6667,498.748,0.105,1.155,"NORMAL","0"
"ENSG00000130816","DNMT1",1108.524,115.39,1844.544,1555.619,713.621,-1.031,0.601,"NORMAL","0"
"ENSG00000131462","TUBG1",303.286,31.57,174.647,156,72.602,1.772,1.737,"NORMAL","0"
"ENSG00000131747","TOP2A",1318.286,137.225,1876.451,1758.0476,1296.615,-0.43,0.703,"NORMAL","0"
"ENSG00000131759","RARA",400.857,41.727,196.96,168.0952,140.545,1.451,2.035,"HIGH","0"
"ENSG00000132155","RAF1",1121.143,116.704,1258.872,1302.5238,106.912,-1.288,0.891,"NORMAL","0"
"ENSG00000132671","SSTR4",0,0,0.544,0,1.037,-0.525,0,"NORMAL","-"
"ENSG00000133703","KRAS",983.762,102.403,461.774,460.5714,75.095,6.951,2.13,"VERY HIGH","0"
"ENSG00000134853","PDGFRA",51.714,5.383,216.125,183.9524,134.193,-1.225,0.239,"LOW","0"
"ENSG00000135446","CDK4",1228.143,127.842,555.464,523.0476,113.617,5.921,2.211,"HIGH","0"
"ENSG00000135454","B4GALNT1",74.667,7.772,13.607,12.4762,5.93,10.297,5.487,"VERY HIGH","0"
"ENSG00000135605","TEC",10.048,1.046,118.058,115.5714,40.283,-2.681,0.085,"VERY LOW","0"
"ENSG00000136492","BRIP1",215.714,22.454,110.692,103.9048,68.906,1.524,1.949,"NORMAL","0"
"ENSG00000136573","BLK",179.095,18.643,891.07,843.5238,226.345,-3.146,0.201,"LOW","0"
"ENSG00000136869","TLR4",653.619,68.038,661.288,641.4762,258.454,-0.03,0.988,"NORMAL","0"
"ENSG00000136877","FPGS",217.381,22.628,478.256,472.5714,86.484,-3.016,0.455,"LOW","0"
